School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Florida A&M,"Tallahassee, Florida",florida-am,florida-am,Florida A&M,Florida A&M University,#FF8200
Florida Atlantic,"Boca Raton, Florida",florida-atlantic,fla-atlantic,Florida Atlantic,Florida Atlantic University,#002855
Florida Gulf Coast,"Fort Myers, Florida",florida-gulf-coast,fgcu,FGCU,Florida Gulf Coast University,#002D72
Florida International,"Miami, Florida",florida-international,fiu,FIU,Florida International University,#041E42
Florida State,"Tallahassee, Florida",florida-state,florida-st,Florida St.,Florida State University,#76253A
Fordham,"Bronx, New York",fordham,fordham,Fordham,Fordham University,#6F263D
Franklin Grizzlies,"Franklin, Indiana",franklin,franklin,Franklin,Franklin College,#072a64
Fresno State,"Fresno, California",fresno-state,fresno-st,Fresno St.,Fresno State,#D50032
Furman,"Greenville, South Carolina",furman,furman,Furman,Furman University,#582C83
Gardner-Webb,"Boiling Springs, North Carolina",gardner-webb,gardner-webb,Gardner-Webb,Gardner-Webb University,#A82931
Geneva Golden Tornadoes,"Beaver Falls, Pennsylvania",geneva,geneva,Geneva,Geneva College,#9d844b
George Mason,"Fairfax, Virginia",george-mason,george-mason,George Mason,George Mason University,#046A38
George Washington,"Washington, D.C.",george-washington,george-washington,George Washington,George Washington University,#041E42
Georgetown,"Washington, D.C.",georgetown,georgetown,Georgetown,Georgetown University,#141F35
Georgia,"Athens, Georgia",georgia,georgia,Georgia,University of Georgia,#DA291C
Georgia Southern,"Statesboro, Georgia",georgia-southern,ga-southern,Georgia Southern,Georgia Southern University,#041E42
Georgia State,"Atlanta, Georgia",georgia-state,georgia-st,Georgia St.,Georgia State University,#264391
Georgia Tech,"Atlanta, Georgia",georgia-tech,georgia-tech,Georgia Tech,Georgia Tech,#B3A369
Gettysburg Bullets,"Gettysburg, Pennsylvania",gettysburg,gettysburg,Gettysburg,Gettysburg College,#002F6C
Gonzaga,"Spokane, Washington",gonzaga,gonzaga,Gonzaga,Gonzaga University,#041E42
Grambling,"Grambling, Louisiana",grambling,grambling,Grambling,Grambling State University,#010101
